fips,state_fips,county_fips,state_abbr,county_name,pop_2020,acs_pop,land_area_sqmi,pop_density,rucc_2023,rucc_description,omb_designation,lat,lng,dist_large_metro,dist_medium_metro,dist_small_metro,rucc_score,density_score,distance_score,rurality_score,rurality_classification,median_income,median_age
01001,01,001,AL,Autauga County,58805,58761,594.4560818852563,98.8,2,"Metro - Counties in metro areas of 250,000 to 1 million",Metropolitan,32.53490255069827,-86.64274666932019,155.08375304190022,358.89186889974036,325.6773400857323,18,50,76,37,Suburban,68315,39
01003,01,003,AL,Baldwin County,231767,233420,1589.835946775833,146.8,3,"Metro - Counties in metro areas of fewer than 250,000",Metropolitan,30.726982388839573,-87.72231456152848,285.5682656354726,384.08102659148574,393.1123396661762,28,46,98,45,Mixed,71039,43.7
01005,01,005,AL,Barbour County,25223,24877,885.0079813686867,28.1,6,"Nonmetro - Urban pop 2,500-19,999, adjacent to metro",Nonmetro,31.869490190619914,-85.3934360557439,142.3826968668685,444.92038424740605,410.0014507596855,62,64,74,65,Rural,39712,40.6
01007,01,007,AL,Bibb County,22293,22251,622.4695436922295,35.7,1,Metro - Counties in metro areas of 1 million+,Metropolitan,32.99859335142811,-87.12651859992428,166.29602370786492,319.8139968900152,283.13362924324196,8,61,78,35,Suburban,50669,40.3
01009,01,009,AL,Blount County,59134,59077,644.8906400578032,91.6,1,Metro - Counties in metro areas of 1 million+,Metropolitan,33.980811616570314,-86.56754348627616,126.065029067766,330.5705623925422,267.32047987675236,8,51,71,31,Suburban,57440,40.8
01011,01,011,AL,Bullock County,10357,10328,622.8150085986302,16.6,8,"Nonmetro - Completely rural or <2,500 urban, adjacent to metro",Nonmetro,32.100540329240694,-85.71565336809678,137.48030547427035,420.75556222147526,385.31442488296756,82,69,73,77,Rural,36136,39.2
01013,01,013,AL,Butler County,19051,18981,776.8385261042763,24.4,6,"Nonmetro - Urban pop 2,500-19,999, adjacent to metro",Nonmetro,31.752328990529065,-86.68029823716154,191.75941680814432,384.4135246512088,364.9421636335785,62,65,82,66,Rural,44429,41.6
01015,01,015,AL,Calhoun County,116441,116162,605.8893169976753,191.7,3,"Metro - Counties in metro areas of fewer than 250,000",Metropolitan,33.771382352433825,-85.82614378767416,82.62482514746797,375.13195763889064,311.4924210628706,28,43,64,38,Suburban,54339,39.2
01017,01,017,AL,Chambers County,34772,34612,596.5608857563443,58,6,"Nonmetro - Urban pop 2,500-19,999, adjacent to metro",Nonmetro,32.914268363064075,-85.39199841551076,81.7650145671603,415.53305866535925,364.18410101051006,62,56,64,61,Rural,48805,42.2
01019,01,019,AL,Cherokee County,24971,25069,553.5241047882648,45.3,8,"Nonmetro - Completely rural or <2,500 urban, adjacent to metro",Nonmetro,34.175744407816076,-85.603816550054745,75.65617709125074,382.8444839217331,310.7160876670116,82,59,63,72,Rural,46621,46.8
01021,01,021,AL,Chilton County,45014,45140,692.8367076557738,65.2,1,Metro - Counties in metro areas of 1 million+,Metropolitan,32.84780414063126,-86.71887787249904,148.30789663669412,345.64998566977334,307.3533078284495,8,55,75,33,Suburban,62471,39.9
01023,01,023,AL,Choctaw County,12665,12669,913.4791282883534,13.9,9,"Nonmetro - Completely rural or <2,500 urban, not adjacent to metro",Nonmetro,32.01939595975288,-88.26332603861432,254.61453317400594,299.05629937300023,298.8882567389867,92,71,92,86,Very Rural,43299,46.7
01025,01,025,AL,Clarke County,23087,23058,1238.4203902773902,18.6,9,"Nonmetro - Completely rural or <2,500 urban, not adjacent to metro",Nonmetro,31.67636651541231,-87.83070953387491,246.07291996517216,333.7539806507905,331.76875027644604,92,68,91,85,Very Rural,47549,42.7
01027,01,027,AL,Clay County,14236,14209,603.9623965686854,23.5,9,"Nonmetro - Completely rural or <2,500 urban, not adjacent to metro",Nonmetro,33.269012430996014,-85.86063204539181,91.08975330421458,382.03532285986483,327.92706844386186,92,66,65,80,Very Rural,48074,43.9
